# Z  symbol            a[0..4]                                  b[0..4]
  1   H  +5.29177211000000022e-02 +5.29177211000000022e-02 +5.29177211000000022e-02 +5.29177211000000022e-02 +5.29177211000000022e-02  +2.76377072000000013e+00 +2.76377072000000013e+00 +2.76377072000000013e+00 +2.76377072000000013e+00 +2.76377072000000013e+00
  2  He  -6.59820794999999949e-04 +7.11721030999999996e-04 +8.65291279000000024e-02 +1.08523125999999998e-01 +1.38958464000000000e-02  +2.33282482999999985e+01 +1.57113885000000000e+01 +1.53648213999999994e+00 +1.04913275000000006e+00 +4.38422721000000015e-01
  3  Li  -1.80735299999999999e+00 +5.17020541000000033e+00 -1.80536801000000002e+00 +7.63865142000000052e-02 +9.17909046000000076e-03  +1.19616992999999994e+01 +9.96739905999999998e+00 +6.43138244000000014e+00 +4.87025672000000021e-01 +2.11223664000000005e-01
  4  Be  -1.65001142999999995e+00 +3.47847484000000007e+00 -3.49745036999999981e-01 +4.32722380999999989e-02 +4.95938295999999966e-03  +6.31848295999999987e+00 +5.71798372000000033e+00 +1.98398153000000010e+00 +2.54238310999999995e-01 +1.18587149000000003e-01
  5   B  +5.43463797000000026e-01 +9.94337541000000047e-01 -1.72021683000000009e-01 +2.78795372999999999e-02 +3.84080701999999982e-03  +4.75872515000000007e+00 +3.09411063999999980e+00 +9.66694586000000022e-01 +1.61519461000000003e-01 +7.92811414000000048e-02
  6   C  +6.82973688999999995e-01 +6.63243103999999972e-01 -1.14353802000000004e-01 +1.93197758999999990e-02 +3.16723196000000002e-03  +3.49198159999999991e+00 +1.90977937000000009e+00 +5.82859443000000033e-01 +1.12090635999999993e-01 +5.71985527000000021e-02
  7   N  +5.79020257000000038e-01 +5.88961460000000048e-01 -7.68316061999999994e-02 +1.42971178000000001e-02 +3.05277146000000003e-03  +2.64860997999999981e+00 +1.39946207000000000e+00 +3.73209222000000007e-01 +8.53012075999999980e-02 +4.42808646999999986e-02
  8   O  +5.26112570000000002e-01 +5.10902890999999970e-01 -5.69017938000000029e-02 +1.10930066000000001e-02 +2.99332595999999987e-03  +2.07926535000000001e+00 +1.04812952000000004e+00 +2.57722469999999981e-01 +6.85297926000000002e-02 +3.54986202999999986e-02
  9   F  +4.78864504000000024e-01 +4.55269509000000017e-01 -4.41706283000000005e-02 +9.09156325000000029e-03 +2.94505209000000016e-03  +1.68988975000000008e+00 +8.16382591999999963e-01 +1.85763014000000004e-01 +5.77334456000000024e-02 +2.91938111000000014e-02
 10  Ne  +4.36041145000000019e-01 +4.13859945000000007e-01 -3.64779282000000024e-02 +9.38547607999999992e-03 +3.14136199000000001e-03  +1.40922735000000010e+00 +6.58047075000000037e-01 +1.31870477000000014e-01 +5.54847251000000000e-02 +2.48384980000000005e-02
 11  Na  +4.46100744000000038e+00 -2.61931129000000018e+00 +5.95803371000000026e-01 -5.60987287999999973e-02 +4.54920313000000028e-03  +9.70725902999999946e+00 +7.19766615999999981e+00 +5.67427330999999979e-01 +1.93572924000000007e-01 +2.30646574000000007e-02
 12  Mg  +5.05696590999999973e+00 -2.86053612999999984e+00 +5.14668848000000012e-01 -1.14262449000000002e-01 +3.91382831999999986e-03  +5.89792367999999989e+00 +4.24125321000000000e+00 +3.74470615000000007e-01 +1.87381596000000011e-01 +1.94475124999999999e-02
 13  Al  +2.90478609999999993e+00 -3.03220590000000012e-01 +5.34179109999999957e-01 -1.96121274000000012e-01 +3.42665547000000010e-03  +6.50857732999999961e+00 +1.33370294999999994e+00 +2.71298382999999976e-01 +1.70656803999999995e-01 +1.66469082999999990e-02
 14  Si  +2.92135844000000011e+00 -3.21428023999999979e-01 +8.47402262999999989e-01 -5.44994742999999948e-01 +3.01206152000000000e-03  +4.94598070999999972e+00 +8.87099077000000014e-01 +1.99281043999999991e-01 +1.62707645000000012e-01 +1.43976951999999995e-02
