# Z  symbol            a[0..4]                                  b[0..4]
  1   H  +6.47384848835291793e-03 -4.90192576780228984e-01 +5.73284160390876485e-01 -3.79403301483990485e-01 +5.54426474774079137e-01  +2.78519885379148890e+00 +2.77620428330644797e+00 +2.77538591050625083e+00 +2.76759302867258805e+00 +2.76511897642927496e+00
  2  He  +3.05745116099835501e+00 -6.20044779127325327e+01 +6.40055537084614485e+01 -5.00132578542780593e+00 +1.51798828700526411e-01  +1.08967248726078791e+00 +9.39838798143121101e-01 +9.25289034386265530e-01 +8.22947498708650582e-01 +5.77393110675402221e-01
  3  Li  +3.92622272886147883e+00 -4.54861962639998030e+00 +2.19335312878658506e+00 +6.99451265033965708e-02 +2.09864224851937604e-03  +8.14276013517280361e+00 +4.98941077007855771e+00 +4.14428999239410878e+00 +4.01922315065680213e-01 +1.56479034719823606e-01
  4  Be  +3.39824970557054096e+00 -1.90866886095696708e+00 +3.90702117539227373e-02 -1.11631010210714501e-02 +9.46204465357523145e-03  +4.44270178622409517e+00 +3.32451542526422994e+00 +1.89772880348214906e-01 +8.71918614644603546e-02 +8.27809060041340555e-02
  5   B  +1.47279248639329308e+00 -4.01933042199387081e-01 +3.05998956982689418e-01 +1.96144217173167996e-02 +9.77177106088202539e-04  +3.74974048281819083e+00 +5.88066536139673746e-01 +5.15639613103010985e-01 +1.21377570080603694e-01 +6.80982412160313910e-02
  6   C  +1.24466088621343303e+02 -2.20352857078963808e+02 +1.95235352280479106e+02 -9.81079361269799648e+01 +1.42023041213623202e-02  +2.42120849256005588e+00 +2.30537943752425800e+00 +2.04851932106564183e+00 +1.93352552917547404e+00 +7.68976818478339652e-02
  7   N  +5.81327150702556068e+01 -1.47542409087812700e+02 +1.30143065649639510e+02 -3.96195674084154277e+01 +1.05957763331480902e-02  +1.70044856413471090e+00 +1.55903852601740400e+00 +1.41576827473146905e+00 +1.27841818205455793e+00 +5.65587798474805475e-02
  8   O  +2.99474045242362408e+01 -7.76101266255278261e+01 +9.98817764623144200e+01 -5.12127005505673125e+01 +8.19618954446032014e-03  +1.30283987880010699e+00 +1.15794105258309510e+00 +1.00988549338025102e+00 +9.43327971433265966e-01 +4.33197611321825618e-02
  9   F  +9.48984894503524745e-01 -3.01333923043554890e+01 +5.27965078127338572e+01 -2.27062703795272398e+01 +6.56997664531441036e-03  +1.45882933198645892e+00 +6.88779993187680017e-01 +6.54239869346695646e-01 +6.14836130811994286e-01 +3.42837419495011231e-02
 10  Ne  +5.82741192220907367e-01 +3.70676561841054908e-01 -5.46744967350809241e-01 +4.14052682480208101e-01 +5.19903080863993138e-03  +1.28118573143877201e+00 +4.44520897170477602e-01 +1.98650875510480995e-01 +1.85477246656276490e-01 +2.75738382033885801e-02
 11  Na  +2.36700603946792612e+01 -2.18531786159742509e+01 +5.92499448108946392e-01 -2.44652290310243999e-02 +4.83950221706535774e-03  +8.45148773514603135e+00 +8.04096600474298207e+00 +6.24996000526314988e-01 +1.32450394947296407e-01 +2.33994362049878592e-02
 12  Mg  +4.85501047687149523e+00 -2.66220906476843711e+00 +4.78001236085108028e-01 -7.02307064692064831e-02 +3.98905828104019824e-03  +5.94639273842456539e+00 +4.17130312520697899e+00 +3.98269808150374327e-01 +1.61886185837474189e-01 +1.95345056363103488e-02
 13  Al  +2.83409561607507499e+00 -4.28004133378261020e+00 +4.42191680548311439e+00 -3.45774471896400579e-02 +3.52385941406079895e-03  +6.66235023980533203e+00 +5.51294722224021427e-01 +5.09328963445973781e-01 +1.11784837425331199e-01 +1.67602351805257385e-02
 14  Si  +2.87189142611612391e+00 -2.06173501195173481e+00 +2.17114024204478717e+00 -6.63073633058801903e-02 +3.01070709670513701e-03  +5.08487103642989613e+00 +4.29178185305126192e-01 +3.66485434192162174e-01 +1.19710611296903399e-01 +1.43994536128397507e-02
 15   P  +2.79151840023151410e+00 -4.36506837823822114e+00 +4.43558455516699013e+00 -8.09635773399473846e-02 +2.67900017966440397e-03  +3.90065961865466093e+00 +3.29825968377150003e-01 +3.06089956505888605e-01 +1.08083232545972796e-01 +1.25894495331186802e-02
 16   S  +2.67971415610199504e+00 -4.74252822230755211e-01 +5.14835948989687653e-01 -9.58360024990722453e-02 +2.48871963818935197e-03  +3.06889121199971093e+00 +3.78216702185808995e-01 +1.88721811902548803e-01 +9.23370590031494104e-02 +1.11920877241144107e-02
 17  Cl  +2.56624839980020303e+00 -3.38876350828591688e-01 +1.14584558755515009e+00 -9.23109316547079617e-01 +2.29168002041042198e-03  +2.41594920365612387e+00 +4.21414239310215988e-01 +1.09592404975830296e-01 +9.90955458226752961e-02 +9.99665948927521038e-03
 18  Ar  +2.45981746414068514e+00 -3.64198177076995089e-01 +2.50584477222474511e-01 -5.77437029544345809e-02 +2.30143866828583709e-03  +1.94004631988856602e+00 +3.99241067884398781e-01 +1.17472406274412203e-01 +5.67803726023621766e-02 +9.15579832920707971e-03
 19   K  +5.81107878601454786e+00 -5.02537096539422592e+01 +4.88609412059842469e+01 +7.40628592048382939e-02 +7.27802738626221867e-04  +1.26691483399036802e+01 +3.95641039698166486e+00 +3.68385059577154506e+00 +1.07458517569562803e-01 +6.65576789391501139e-03
 20  Ca  +2.11781161524159494e+01 -3.39043824317468875e+02 +3.22756958523296703e+02 +6.50077673896996694e-02 +6.55874366578593519e-04  +6.39608619431736170e+00 +3.74024713891749494e+00 +3.64888449922605318e+00 +9.45090634514673539e-02 +5.98520619883758601e-03
 21  Sc  +1.26035186572148596e+01 -2.76875382053702594e+02 +2.68871603907342774e+02 +5.56824178897458028e-02 +5.77071255145399564e-04  +6.15625615363852940e+00 +3.08873554266679307e+00 +3.02727663298548322e+00 +8.18874748375215677e-02 +5.38289832050797574e-03
 22  Ti  +8.57595775238129931e+00 -2.10331563465304896e+02 +2.06097172601541388e+02 +4.77773948977261928e-02 +5.05716484480320575e-04  +6.00780668875581814e+00 +2.60285856745213007e+00 +2.55352345051105578e+00 +7.11429484024153902e-02 +4.85628439383726119e-03
 23   V  +6.52768433234789036e+00 -2.00430576829172708e+02 +1.98015053889993993e+02 +4.13911518064005585e-02 +4.47455024329856520e-04  +5.83552479352448117e+00 +2.23255952381127587e+00 +2.19786018594228993e+00 +6.23973876828547297e-02 +4.40383649079958018e-03
 24  Cr  +3.02831784843691310e+00 -9.55393933081432323e+01 +9.61761562352198069e+01 +3.59777315957987703e-02 +3.91492890718422317e-04  +8.35911504314631770e+00 +1.80263790264103196e+00 +1.77509488957047190e+00 +5.48144412143113727e-02 +3.99828968916034807e-03
 25  Mn  +4.37417550633122687e+00 -1.60925510918779509e+02 +1.60273308060322307e+02 +3.12303861049162412e-02 +3.46966021020938013e-04  +5.51031705504928215e+00 +1.68798216402433909e+00 +1.66614047777702390e+00 +4.83370390321277016e-02 +3.64746960053068201e-03
 26  Fe  +3.79810090836859615e+00 -9.16893549381687194e+01 +9.14454252155429828e+01 +2.72754344027604685e-02 +3.03379854383770977e-04  +5.31712645899433056e+00 +1.49713094884748110e+00 +1.46809241804410506e+00 +4.27247850128954915e-02 +3.32791855231874111e-03
 27  Co  +3.33037874467544315e+00 -7.70017596472967085e+01 +7.70725221790516883e+01 +2.39904669040569909e-02 +2.68256665523941974e-04  +5.18135964579543185e+00 +1.32915122265139396e+00 +1.30284928963228896e+00 +3.80645486826371032e-02 +3.05010007991570820e-03
 28  Ni  +2.96908078725286417e+00 -7.57477069129040217e+01 +7.60398287625307319e+01 +2.10162113692967008e-02 +2.31151751135152988e-04  +5.04180949109380006e+00 +1.18275507921629308e+00 +1.16216545846629904e+00 +3.37479087883035267e-02 +2.78680862070740517e-03
 29  Cu  +1.75207145212145599e+00 -4.30410523492124497e+01 +4.40705915543573923e+01 +1.86876154088144696e-02 +2.01727324791624112e-04  +6.18750497986187131e+00 +1.00266263628976593e+00 +9.85384311353030284e-01 +3.02984703916117613e-02 +2.55855598748879094e-03
 30  Zn  +2.46637110499459089e+00 -6.14678541332537520e+01 +6.20176945237481334e+01 +1.64160173931416214e-02 +1.72487117595380892e-04  +4.91028078493815912e+00 +9.67898520322992173e-01 +9.51283834775355497e-01 +2.69600967667566298e-02 +2.34109611046253710e-03
 31  Ga  +2.76010203108428298e+00 -3.44452614207467889e+01 +3.52262267244016272e+01 +1.32067196999419902e-02 +1.25945560928245693e-04  +6.10128224537662689e+00 +7.65143313553464877e-01 +7.51328623382859662e-01 +2.24879634317251206e-02 +2.06737374278712300e-03
 32  Ge  +3.18241635260000022e+00 -5.24514037811166673e+01 +5.29690827162218483e+01 +1.14096168591864798e-02 +9.50954358145057911e-05  +5.01719040860914678e+00 +7.12395764437798173e-01 +7.02280192528193958e-01 +1.96747295694015417e-02 +1.84146614494011497e-03
 33  As  +3.45642969119603993e+00 -3.33176044431721223e+01 +3.35712193855332188e+01 +9.79002295640342066e-03 +6.53434862265172477e-05  +4.01358016032945208e+00 +6.62355778050629063e-01 +6.45771941056073828e-01 +1.70919353231011491e-02 +1.60301602839420091e-03
 34  Se  +3.64905047801926408e+00 -4.36851662221238612e+01 +4.36920288601154780e+01 +8.44902284199144406e-03 +3.78611474110038227e-05  +3.25043267112593393e+00 +6.09666201650288953e-01 +5.96971300802123239e-01 +1.48554512740362299e-02 +1.33625587356562994e-03
 35  Br  +3.83846312224289488e+00 -5.22723471011233869e+01 +5.19861279495659616e+01 +7.33955989338044758e-03 +1.64694207951339917e-05  +2.61189470573232319e+00 +5.66195062874718213e-01 +5.55279326699873899e-01 +1.29746469432440708e-02 +1.02986536855875690e-03
 36  Kr  +4.02541030310827441e+00 -4.63042332078929775e+01 +4.57213681904101179e+01 +6.35337959625315724e-03 +1.33477845255742994e-06  +2.13648381443739988e+00 +5.26591166454131177e-01 +5.14136784464577556e-01 +1.12807242242006795e-02 +4.88089857940970419e-04
 37  Rb  +3.38975351595393981e+00 +2.14348348679172407e+00 +3.54322603510978218e-01 +3.74009340085664204e-03 +3.00342502342229711e-07  +2.05744814368171092e+01 +1.91079945218516389e+00 +1.97410589396603914e-01 +8.13459465343988920e-03 +2.92685791056951112e-04
 38  Sr  +4.77092509299825984e+00 +1.47597850155283394e+00 +3.04451355544188673e-01 +3.59474981916728300e-03 +3.00085549228279015e-07  +1.33668881330412805e+01 +1.33738379577196698e+00 +1.77532369437782805e-01 +7.79105033001826781e-03 +2.82255139648537174e-04
 39   Y  +4.60721019875234017e+00 +1.42801851039840311e+00 +2.95581045577753776e-01 +3.38997840852895121e-03 +2.66862974969022404e-07  +1.08686905557151903e+01 +1.31137455873124109e+00 +1.68022870784711204e-01 +7.35964545350478293e-03 +2.62343281021387318e-04
 40  Zr  +4.31175453406871600e+00 +1.49331578039339496e+00 +2.81236050128884085e-01 +3.09337738455747096e-03 +2.58024448512530602e-07  +9.45896580517490193e+00 +1.33063622845245599e+00 +1.56506871444453605e-01 +6.82410523811735181e-03 +2.49818879110702324e-04
 41  Nb  +3.11179039113495381e+00 +2.20259060945803098e+00 +2.70330774910020888e-01 +2.68799194751098095e-03 +2.32549483347779213e-07  +1.06903141343023709e+01 +1.65316356158933098e+00 +1.45115185718969891e-01 +6.13956351582850470e-03 +2.32240235937672488e-04
 42  Mo  +2.83105968432053601e+00 +2.34858137489674501e+00 +2.45105888429696411e-01 +2.35282108218515902e-03 +2.31270838343859194e-07  +1.04357195758950692e+01 +1.60482868674597201e+00 +1.31696934774606894e-01 +5.54977901383345903e-03 +2.22747463764897687e-04
 43  Tc  +2.57179859323352611e+00 +2.45633741957203000e+00 +2.20658440881371487e-01 +2.05531418012438192e-03 +2.32132947793692210e-07  +1.01643117131377494e+01 +1.53441919244550506e+00 +1.19138619754110400e-01 +5.01853240882988837e-03 +2.14590379120861187e-04
 44  Ru  +2.33230030353946605e+00 +2.53578025489049619e+00 +1.98208042136025997e-01 +1.76120130460053490e-03 +1.98129411546024512e-07  +9.92167460159959447e+00 +1.45585668808788093e+00 +1.07682187873349294e-01 +4.47243545654967337e-03 +1.96574716232499394e-04
